District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
1966,North Bend SD 13,209,North Bend Senior High School,Darrell Johnston,Grade(s) 9-12,H,Coos,766,<5%,8,11%,41%,95%,33,11,2,10%,No,24,Decrease,1,25,78%,Decrease,5%,80%,,,,,,,,,,,,,,71%,Decrease,8%,85%,82%,Increase,15%,77%,77%,No Change,,83%
1966,North Bend SD 13,4690,Oregon Virtual Academy,Steve Werlein,Grade(s) K-12,H,Coos,1992,<5%,11,14%,63%,85%,69,0,2,30%,No,51,Decrease,4,25,76%,Decrease,2%,80%,,,,,,,,,,,,,,54%,Increase,11%,85%,26%,Decrease,2%,77%,38%,Decrease,5%,83%
1924,North Clackamas SD 12,3530,Alder Creek Middle School,Alyson Brant,Grade(s) 6-8,M,Clackamas,953,21%,16,21%,54%,95%,49,8,2,15%,No,30,Decrease,1,25,83%,Increase,2%,80%,Average,54%,Increase,8%,56%,40%,Increase,9%,41%,52%,Increase,4%,61%,,,,,,,,,,,,
1924,North Clackamas SD 12,4762,Ardenwald Elementary School,Karon Webster,Grade(s) K-5,E,Clackamas,438,7%,5,23%,52%,94%,23,13,1,15%,No,24,Increase,1,25,81%,Decrease,2%,80%,High,44%,No Change,,51%,34%,Increase,1%,44%,82%,Increase,18%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,65,Bilquist Elementary School,Charles Foote,Grade(s) K-5,E,Clackamas,423,17%,10,23%,55%,95%,23,13,1,13%,No,25,No Change,,25,87%,Increase,3%,80%,Average,56%,Decrease,1%,51%,50%,No Change,,44%,64%,Decrease,2%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4475,Cascade Heights Public Charter School,Kristin Macy,Grade(s) K-8,E,Clackamas,220,9%,13,10%,18%,90%,13,0,0,22%,Yes,23,No Change,,25,91%,Increase,4%,80%,High,55%,Decrease,1%,54%,57%,No Change,,42%,75%,Decrease,3%,64%,,,,,,,,,,,,
1924,North Clackamas SD 12,85,Clackamas High School,Tammy O'Neill,Grade(s) 9-12,H,Clackamas,2448,24%,36,10%,27%,95%,84,7,6,9%,Yes,30,Increase,1,25,89%,Decrease,3%,80%,,,,,,,,,,,,,,95%,No Change,,85%,92%,Increase,4%,77%,92%,Decrease,1%,83%
1924,North Clackamas SD 12,4226,Clackamas Middle College,Brian Sien,Grade(s) 9-12,H,Clackamas,300,35%,12,7%,34%,88%,8,1,3,6%,No,27,Increase,1,25,>95%,Increase,>5%,80%,,,,,,,,,,,,,,>95%,Increase,>1%,85%,93%,Increase,33%,77%,94%,Decrease,1%,83%
1924,North Clackamas SD 12,4223,Clackamas Web Academy,Brad Linn,Grade(s) 1-12,H,Clackamas,459,21%,14,10%,24%,*,16,3,3,5%,No,26.5,Increase,14,25,>95%,No Change,,80%,,,,,,,,,,,,,,60%,Decrease,9%,85%,57%,Decrease,12%,77%,78%,Decrease,3%,83%
1924,North Clackamas SD 12,4005,El Puente,Colleen Sackos,Grade(s) K-5,E,Clackamas,276,50%,7,12%,62%,96%,14,4,1,21%,No,28,Decrease,1,25,86%,Decrease,6%,80%,Average,47%,Increase,5%,51%,39%,Increase,10%,44%,43%,Decrease,24%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4763,Happy Valley Elementary School,Dianna Ngai,Grade(s) K-5,E,Clackamas,431,10%,17,14%,12%,92%,19,5,1,16%,No,25,Decrease,4,25,92%,Decrease,1%,80%,Average,69%,Decrease,1%,51%,60%,Decrease,7%,44%,61%,Decrease,18%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4715,Happy Valley Middle School,Emily Behunin,Grade(s) 6-8,M,Clackamas,1092,19%,27,11%,21%,94%,45,4,2,17%,No,33,No Change,,25,91%,Increase,2%,80%,High,75%,Decrease,1%,56%,67%,Increase,3%,41%,64%,Decrease,2%,61%,,,,,,,,,,,,
1924,North Clackamas SD 12,4764,Lewelling Elementary School,Kristi Weathers,Grade(s) K-5,E,Clackamas,358,23%,10,23%,68%,93%,19,8,1,15%,Yes,25,Decrease,2,25,80%,Decrease,8%,80%,Average,45%,Increase,3%,51%,34%,Decrease,7%,44%,65%,Decrease,2%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4765,Linwood Elementary School,Amy Busch,Grade(s) K-5,E,Clackamas,310,19%,14,19%,70%,93%,18,7,1,6%,No,23,Decrease,2,25,87%,Increase,7%,80%,High,53%,Increase,4%,51%,37%,Decrease,9%,44%,88%,Increase,17%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4369,Milwaukie Academy of the Arts,Tim Taylor,Grade(s) 9-12,H,Clackamas,295,6%,3,12%,42%,87%,3,0,0,22%,No,25,Decrease,2,25,76%,Decrease,7%,80%,,,,,,,,,,,,,,83%,Decrease,5%,85%,92%,Decrease,2%,77%,97%,Increase,5%,83%
1924,North Clackamas SD 12,73,Milwaukie Elementary School,Colleen Sackos,Grade(s) K-5,E,Clackamas,156,8%,10,27%,53%,96%,9,6,1,20%,No,24,Decrease,2,25,78%,No Change,,80%,High,57%,Decrease,4%,51%,47%,Increase,3%,44%,67%,Decrease,21%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,86,Milwaukie High School,Mark Pinder,Grade(s) 9-12,H,Clackamas,857,29%,27,23%,64%,97%,50,8,4,9%,No,22,Decrease,2,25,75%,Decrease,2%,80%,,,,,,,,,,,,,,78%,Decrease,7%,85%,78%,Increase,5%,77%,79%,No Change,,83%
1924,North Clackamas SD 12,1264,Mount Scott Elementary School,Cam Kitchen,Grade(s) K-5,E,Clackamas,386,18%,16,17%,31%,93%,19,10,1,11%,No,27,Decrease,1,25,89%,Increase,1%,80%,Average,65%,Decrease,5%,51%,59%,Increase,3%,44%,80%,Decrease,2%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4004,New Urban High School,Noah Hurd,Grade(s) 9-12,H,Clackamas,157,10%,3,38%,>95%,88%,13,2,2,10%,No,15,Decrease,1,25,22%,Increase,1%,80%,,,,,,,,,,,,,,36%,Increase,1%,85%,38%,Increase,13%,77%,43%,Decrease,15%,83%
1924,North Clackamas SD 12,3342,Oak Grove Elementary,Sid Ong,Grade(s) K-5,E,Clackamas,350,13%,8,25%,63%,90%,20,11,1,22%,No,25,Increase,1,25,79%,No Change,,80%,Average,40%,Decrease,3%,51%,41%,Increase,10%,44%,47%,Decrease,3%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4766,Oregon Trail Elementary School,Kim Kellogg,Grade(s) K-5,E,Clackamas,525,18%,19,16%,30%,93%,25,10,1,24%,No,26,Decrease,2,25,91%,Increase,3%,80%,High,64%,Increase,4%,51%,51%,No Change,,44%,90%,Increase,3%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,87,Putnam High School,Kathleen Walsh,Grade(s) 9-12,H,Clackamas,1084,19%,25,19%,45%,96%,45,8,3,11%,No,27,Increase,1,25,77%,Decrease,3%,80%,,,,,,,,,,,,,,91%,Increase,9%,85%,89%,Increase,2%,77%,91%,No Change,,83%
1924,North Clackamas SD 12,76,Riverside Elementary School,Alison Schlicht,Grade(s) K-5,E,Clackamas,425,28%,8,17%,57%,95%,23,10,1,23%,Yes,26,Decrease,3,25,88%,Increase,4%,80%,Average,46%,Increase,3%,51%,34%,Decrease,2%,44%,57%,Decrease,3%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4767,Rock Creek Middle School,John Brooks,Grade(s) 6-8,M,Clackamas,881,28%,23,14%,36%,93%,40,4,2,23%,No,31,Decrease,1,25,88%,Decrease,4%,80%,Average,61%,Increase,4%,56%,48%,Decrease,1%,41%,57%,Increase,3%,61%,,,,,,,,,,,,
1924,North Clackamas SD 12,84,Rowe Middle School,Greg Harris,Grade(s) 6-8,M,Clackamas,752,27%,24,24%,69%,95%,47,6,2,19%,No,23,Decrease,2,25,79%,Decrease,6%,80%,Average,48%,No Change,,56%,29%,Decrease,1%,41%,43%,Decrease,11%,61%,,,,,,,,,,,,
1924,North Clackamas SD 12,4713,Scouters Mountain Elementary,Kevin Spooner,Grade(s) K-5,E,Clackamas,512,19%,22,8%,19%,90%,24,5,1,14%,No,27.5,Decrease,1,25,90%,Decrease,3%,80%,High,72%,Increase,2%,51%,66%,Decrease,1%,44%,74%,Decrease,5%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,2733,Sojourner School,Amy Busch,Grade(s) K-5,E,Clackamas,165,*,8,12%,15%,93%,8,3,1,8%,No,28,Increase,1,25,93%,Increase,3%,80%,Average,63%,No Change,,51%,60%,Increase,4%,44%,76%,Decrease,7%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,3198,Spring Mountain Elementary School,Curtis Long,Grade(s) K-5,E,Clackamas,566,16%,20,13%,23%,95%,24,10,1,18%,No,29,No Change,,25,90%,Decrease,1%,80%,Low,67%,Increase,1%,51%,60%,Decrease,2%,44%,79%,Decrease,1%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,78,Sunnyside Elementary School,Mike Potter,Grade(s) K-5,E,Clackamas,566,21%,18,14%,38%,92%,27,7,1,13%,Yes,28,Increase,1,25,87%,Increase,2%,80%,Average,49%,No Change,,51%,47%,Increase,9%,44%,69%,Increase,8%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,4714,Verne A Duncan Elementary School,Mason Branstetter,Grade(s) K-5,E,Clackamas,573,18%,13,14%,38%,93%,27,7,1,21%,No,27,Decrease,2,25,85%,Increase,1%,80%,Average,56%,Decrease,2%,51%,45%,Decrease,1%,44%,57%,Decrease,5%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,79,View Acres Elementary School,Liz Manspeaker,Grade(s) K-5,E,Clackamas,447,10%,15,19%,40%,95%,21,8,1,20%,Yes,29,Increase,2,25,87%,Increase,1%,80%,High,52%,Decrease,5%,51%,38%,Decrease,15%,44%,67%,Decrease,14%,65%,,,,,,,,,,,,
1924,North Clackamas SD 12,72,Whitcomb Elementary School,Cathy Lehmann,Grade(s) K-5,E,Clackamas,430,37%,11,24%,>95%,94%,26,13,1,19%,No,25,Decrease,2,25,86%,Increase,5%,80%,Low,28%,Increase,2%,51%,8%,Decrease,14%,44%,49%,Increase,4%,65%,,,,,,,,,,,,
1996,North Douglas SD 22,296,North Douglas Elementary School,Jody Cyr,Grade(s) K-8,E,Douglas,253,*,3,16%,62%,92%,14,8,1,10%,No,23,Increase,3,25,82%,Decrease,3%,80%,Average,46%,Decrease,2%,54%,45%,No Change,,42%,69%,Increase,5%,64%,,,,,,,,,,,,
1996,North Douglas SD 22,297,North Douglas High School,Scott Yakovich,Grade(s) 9-12,H,Douglas,80,*,2,13%,40%,94%,8,1,0,9%,No,9,Decrease,4,25,83%,Decrease,10%,80%,,,,,,,,,,,,,,35%,Decrease,37%,85%,85%,Decrease,3%,77%,94%,Decrease,6%,83%
2061,North Lake SD 14,1289,North Lake School,Dave Kerr,Grade(s) K-12,H,Lake,212,*,2,23%,71%,94%,18,6,0,16%,No,15,No Change,,25,74%,Increase,11%,80%,,,,,,,,,,,,,,77%,Decrease,14%,85%,71%,Decrease,20%,77%,95%,Increase,13%,83%
2141,North Marion SD 15,726,North Marion High School,Cherie Stroud,Grade(s) 9-12,H,Marion,602,40%,7,17%,50%,96%,32,11,2,9%,No,24,Increase,2,25,73%,Decrease,7%,80%,,,,,,,,,,,,,,91%,Increase,1%,85%,84%,Increase,7%,77%,87%,Decrease,1%,83%
2141,North Marion SD 15,724,North Marion Intermediate School,Cory Gaub,Grade(s) 3-5,E,Marion,417,38%,7,21%,56%,97%,21,10,1,20%,Yes,27,No Change,,25,86%,No Change,,80%,Average,41%,Increase,2%,51%,34%,Increase,4%,44%,54%,Decrease,10%,65%,,,,,,,,,,,,
2141,North Marion SD 15,725,North Marion Middle School,Tami Badinger,Grade(s) 6-8,M,Marion,479,39%,6,18%,53%,97%,26,9,1,21%,No,25,Increase,1,25,88%,Increase,1%,80%,Average,48%,Increase,8%,56%,23%,Increase,1%,41%,59%,Increase,3%,61%,,,,,,,,,,,,
2141,North Marion SD 15,3146,North Marion Primary School,Andrew Kronser,Grade(s) K-2,E,Marion,380,36%,5,14%,25%,95%,23,12,0,18%,No,22,No Change,,25,83%,Increase,1%,80%,*,35%,Increase,6%,,33%,Increase,2%,,*,No Change,,,,,,,,,,,,,,
2214,North Powder SD 8J,3365,North Powder Charter School,Molly Smith,Grade(s) K-12,H,Union,287,7%,2,19%,61%,93%,23,1,0,18%,Yes,13,Decrease,3,25,88%,No Change,,80%,,,,,,,,,,,,,,>95%,No Change,,85%,92%,Decrease,1%,77%,93%,Decrease,7%,83%
2143,North Santiam SD 29J,656,Mari-Linn Elementary School,Jeri Harbison,Grade(s) K-8,E,Linn,213,*,2,17%,56%,92%,12,4,0,16%,No,24,No Change,,25,76%,Decrease,1%,80%,Average,46%,Increase,4%,54%,41%,Decrease,2%,42%,79%,Increase,3%,64%,,,,,,,,,,,,
2143,North Santiam SD 29J,788,Stayton Elementary School,Wendy Moore,Grade(s) K-3,E,Marion,400,16%,4,19%,73%,94%,22,11,0,32%,No,24,Decrease,1,25,74%,Decrease,6%,80%,*,43%,Increase,1%,48%,47%,Increase,5%,47%,*,No Change,,,,,,,,,,,,,,
2143,North Santiam SD 29J,809,Stayton High School,Alan Kirby,Grade(s) 9-12,H,Marion,671,9%,4,16%,46%,98%,36,11,2,11%,No,20,Decrease,1,25,70%,Decrease,3%,80%,,,,,,,,,,,,,,89%,Increase,8%,85%,81%,Increase,8%,77%,82%,Decrease,4%,83%
2143,North Santiam SD 29J,789,Stayton Middle School,Michael Proctor,Grade(s) 4-8,M,Marion,589,19%,3,17%,66%,96%,32,8,1,18%,No,26,Decrease,1,25,74%,Decrease,2%,80%,Average,47%,Decrease,2%,55%,24%,Decrease,7%,41%,67%,Increase,4%,64%,,,,,,,,,,,,
2143,North Santiam SD 29J,717,Sublimity Elementary School,Missy Riesterer,Grade(s) K-8,E,Marion,363,*,5,17%,23%,98%,20,11,0,10%,No,24,Decrease,4,25,83%,Decrease,3%,80%,High,73%,Increase,4%,54%,63%,Increase,4%,42%,89%,Decrease,6%,64%,,,,,,,,,,,,
4131,North Wasco County SD 21,1093,Chenowith Elementary School,Stephen Jupe,Grade(s) K-5,E,Wasco,456,35%,6,23%,>95%,98%,24,9,1,17%,No,26,Increase,1,25,75%,Increase,1%,80%,High,33%,Decrease,7%,51%,24%,Decrease,13%,44%,82%,Increase,5%,65%,,,,,,,,,,,,
4131,North Wasco County SD 21,1097,Colonel Wright Elementary School,Sharon Bonderud,Grade(s) K-5,E,Wasco,333,23%,5,15%,>95%,94%,20,8,1,16%,No,23,No Change,,25,86%,Increase,7%,80%,Average,39%,Decrease,10%,51%,29%,Decrease,3%,44%,78%,Increase,12%,65%,,,,,,,,,,,,
4131,North Wasco County SD 21,1098,Dry Hollow Elementary School,Theresa Peters,Grade(s) K-5,E,Wasco,506,17%,5,16%,>95%,97%,28,11,1,20%,No,22,Decrease,3,25,74%,Decrease,7%,80%,Average,55%,Increase,7%,51%,45%,No Change,,44%,75%,Increase,5%,65%,,,,,,,,,,,,
4131,North Wasco County SD 21,1095,Mosier Community School,Kieran Connolly,Grade(s) K-8,E,Wasco,211,18%,4,12%,45%,83%,13,8,0,8%,No,20,Decrease,1,25,85%,Increase,3%,80%,High,67%,Decrease,2%,54%,46%,No Change,,42%,83%,Decrease,4%,64%,,,,,,,,,,,,
4131,North Wasco County SD 21,1101,The Dalles High School,Kurt Evans,Grade(s) 9-12,H,Wasco,781,24%,7,13%,47%,95%,43,13,3,16%,No,22,Decrease,3,25,80%,Increase,9%,80%,,,,,,,,,,,,,,84%,Increase,6%,85%,87%,Increase,4%,77%,88%,Increase,10%,83%
4131,North Wasco County SD 21,1100,The Dalles Middle School,Sandra Harris,Grade(s) 6-8,M,Wasco,612,27%,7,18%,>95%,95%,30,14,3,25%,No,26,Increase,1,25,81%,Increase,9%,80%,Low,39%,No Change,,56%,23%,Decrease,2%,41%,60%,Decrease,5%,61%,,,,,,,,,,,,
4131,North Wasco County SD 21,5250,Wahtonka Community School,Brian Goodwin,Grade(s) 9-12,H,Wasco,77,*,2,29%,>95%,95%,2,0,0,60%,No,25,Increase,23,25,76%,Increase,13%,80%,,,,,,,,,,,,,,*,No Change,,85%,17%,Decrease,18%,77%,51%,Increase,7%,83%
2110,Nyssa SD 26,702,Nyssa Elementary School,Matthew Murray,Grade(s) K-5,E,Malheur,559,44%,3,16%,>95%,99%,31,16,1,17%,No,24,Increase,1,25,82%,Decrease,2%,80%,Average,41%,Increase,6%,51%,27%,Increase,3%,44%,55%,Decrease,8%,65%,,,,,,,,,,,,
2110,Nyssa SD 26,704,Nyssa High School,Malcom McRae,Grade(s) 9-12,H,Malheur,329,46%,5,15%,>95%,98%,22,3,1,7%,Yes,17.5,No Change,,25,64%,Decrease,11%,80%,,,,,,,,,,,,,,85%,Decrease,5%,85%,86%,Decrease,5%,77%,92%,Increase,3%,83%
2110,Nyssa SD 26,703,Nyssa Middle School,Luke Cleaver,Grade(s) 6-8,M,Malheur,261,43%,2,17%,>95%,95%,16,7,1,8%,No,16,Decrease,2,25,78%,Decrease,7%,80%,High,52%,Increase,2%,56%,31%,Increase,1%,41%,67%,Increase,7%,61%,,,,,,,,,,,,
1990,Oakland SD 1,266,Lincoln Middle School,Diana Sweeden,Grade(s) 5-8,M,Douglas,202,*,2,18%,54%,92%,11,3,0,30%,No,24,No Change,,25,80%,Decrease,1%,80%,High,66%,Increase,1%,56%,43%,Decrease,1%,41%,78%,Increase,6%,64%,,,,,,,,,,,,
1990,Oakland SD 1,267,Oakland Elementary School,Anne LaMoreaux,Grade(s) K-4,E,Douglas,200,*,2,11%,62%,90%,14,3,0,24%,Yes,20.5,No Change,,25,87%,Increase,1%,80%,Average,52%,Increase,7%,49%,39%,Decrease,4%,46%,*,No Change,,,,,,,,,,,,,,
1990,Oakland SD 1,268,Oakland High School,Jeff Clark,Grade(s) 9-12,H,Douglas,198,*,2,12%,39%,97%,13,3,1,16%,No,16,Increase,1,25,69%,Decrease,8%,80%,,,,,,,,,,,,,,92%,Decrease,>3%,85%,98%,Decrease,2%,77%,100%,No Change,,83%
2093,Oakridge SD 76,600,Oakridge Elementary School,Tiffany O'Donnell,Grade(s) K-6,E,Lane,330,*,2,18%,>95%,89%,18,7,0,21%,No,28,Increase,3,25,82%,No Change,,80%,Low,34%,Increase,5%,52%,33%,Increase,11%,43%,57%,Increase,8%,65%,,,,,,,,,,,,
2093,Oakridge SD 76,602,Oakridge High School,Greg Chapman,Grade(s) 9-12,H,Lane,140,*,2,21%,67%,94%,10,4,1,19%,Yes,11,Decrease,2,25,87%,Increase,5%,80%,,,,,,,,,,,,,,87%,Increase,26%,85%,67%,Increase,11%,77%,64%,Decrease,11%,83%
2093,Oakridge SD 76,601,Oakridge Junior High School,Greg Chapman,Grade(s) 7-8,M,Lane,85,*,2,20%,89%,95%,7,3,1,23%,Yes,9.5,Decrease,4,25,89%,Increase,2%,80%,Average,44%,Increase,13%,57%,20%,Increase,1%,42%,74%,Increase,23%,61%,,,,,,,,,,,,
3477,ODE YCEP District,2258,Monroe School,Dustin Clark,Grade(s) 6-12,H,Harney,13,*,2,77%,>95%,100%,4,2,0,31%,Yes,7.5,Decrease,2,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,78%,Increase,38%,77%,50%,Decrease,10%,83%
3477,ODE YCEP District,2260,New Bridge High School,Lynn Eccleston,Grade(s) 6-12,H,Josephine,80,14%,5,36%,>95%,100%,8,4,0,9%,Yes,12,Decrease,1,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,29%,Decrease,4%,77%,76%,Increase,23%,83%
3477,ODE YCEP District,2387,Ocean Dunes High School,Joy Koenig,Grade(s) 9-12,H,Lane,4,*,1,*,>95%,*,1,1,0,67%,Yes,2,Increase,1,25,*,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,100%,Increase,100%,77%,80%,Increase,30%,83%
3477,ODE YCEP District,2386,RiverBend High School,Eric Volger,Grade(s) 9-12,H,Union,11,*,2,*,>95%,90%,3,0,0,4%,No,5,Decrease,5,25,*,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,44%,Increase,31%,77%,67%,Decrease,27%,83%
3477,ODE YCEP District,2388,Riverside High School,Doana Anderson,Grade(s) 10-12,H,Linn,10,*,2,*,>95%,90%,1,0,0,0%,Yes,5,Increase,2,25,*,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,50%,No Change,,77%,*,No Change,,83%
3477,ODE YCEP District,4609,Three Lakes High School,Joy Koenig,Grade(s) 6-12,H,Linn,46,*,3,22%,>95%,89%,3,3,0,29%,Yes,8,Increase,2,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,20%,Decrease,2%,77%,76%,Decrease,10%,83%
3477,ODE YCEP District,4588,Trask River High School,Jerry Dorland,Grade(s) 6-12,H,Tillamook,38,*,3,53%,>95%,100%,5,0,0,22%,No,7.5,Increase,2,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,67%,Increase,22%,77%,95%,Increase,12%,83%
3477,ODE YCEP District,1828,William P Lord High School,Michael Conn,Grade(s) 6-12,H,Marion,144,17%,6,58%,>95%,97%,16,0,0,37%,Yes,8,No Change,,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,10%,Decrease,1%,77%,48%,Increase,15%,83%
2108,Ontario SD 8C,694,Aiken Elementary School,Tobey Huddleston,Grade(s) K-5,E,Malheur,289,12%,4,11%,>95%,97%,14,12,1,20%,Yes,24.5,Decrease,3,25,>95%,Increase,>2%,80%,Average,43%,Increase,8%,51%,27%,Decrease,2%,44%,71%,Increase,26%,65%,,,,,,,,,,,,
2108,Ontario SD 8C,692,Alameda Elementary School,Andrea Buchholz,Grade(s) K-6,E,Malheur,393,15%,5,14%,>95%,99%,19,20,1,20%,Yes,26,Increase,1,25,93%,Increase,5%,80%,High,43%,Increase,2%,52%,35%,No Change,,43%,60%,Increase,13%,65%,,,,,,,,,,,,
2108,Ontario SD 8C,693,Cairo Elementary School,Jenny Dayton,Grade(s) K-5,E,Malheur,149,19%,2,13%,>95%,100%,7,6,1,8%,Yes,25,Decrease,2,25,93%,Increase,7%,80%,Average,39%,Increase,1%,51%,31%,Increase,1%,44%,46%,Increase,2%,65%,,,,,,,,,,,,
2108,Ontario SD 8C,696,May Roberts Elementary School,Marshell Hooker,Grade(s) K-6,E,Malheur,381,27%,6,12%,>95%,98%,21,22,1,15%,No,23,Decrease,1,25,88%,Increase,2%,80%,High,40%,Increase,1%,52%,34%,Increase,5%,43%,49%,Decrease,4%,65%,,,,,,,,,,,,
2108,Ontario SD 8C,699,Ontario High School,Jodi ELizondo,Grade(s) 9-12,H,Malheur,618,30%,5,13%,>95%,99%,38,14,2,23%,Yes,23,Increase,1,25,84%,Increase,5%,80%,,,,,,,,,,,,,,92%,Increase,15%,85%,89%,Increase,6%,77%,91%,Increase,7%,83%
2108,Ontario SD 8C,698,Ontario Middle School,Lisa Longoria,Grade(s) 7-8,M,Malheur,333,26%,7,12%,>95%,98%,21,7,1,26%,No,22,No Change,,25,81%,Decrease,1%,80%,High,51%,Increase,5%,57%,34%,Increase,12%,42%,44%,Increase,1%,61%,,,,,,,,,,,,
2108,Ontario SD 8C,697,Pioneer Elementary School,Erin O'Hara-Rines,Grade(s) K-5,E,Malheur,110,15%,4,13%,>95%,98%,7,5,1,31%,Yes,18.5,Decrease,4,25,87%,Increase,1%,80%,High,30%,Decrease,2%,51%,30%,Decrease,2%,44%,62%,Increase,29%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,4585,Alliance Charter Academy,Seanna Bloemer,Grade(s) K-12,H,Clackamas,391,<5%,5,12%,13%,71%,26,2,0,6%,Yes,11,Decrease,1,25,*,No Change,,80%,,,,,,,,,,,,,,85%,Decrease,4%,85%,79%,Increase,18%,77%,94%,Increase,3%,83%
1928,Oregon City SD 62,105,Beavercreek Elementary School,Cori Waufle,Grade(s) K-5,E,Clackamas,559,<5%,5,16%,29%,88%,23,11,1,11%,Yes,29,Increase,2,25,88%,Decrease,1%,80%,High,61%,Increase,5%,51%,53%,Increase,4%,44%,85%,Increase,1%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,106,Candy Lane Elementary School,April Albers,Grade(s) 2-5,E,Clackamas,266,35%,6,13%,58%,93%,13,6,1,24%,Yes,26,No Change,,25,86%,Decrease,3%,80%,Average,39%,No Change,,51%,29%,Increase,1%,44%,58%,Increase,5%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,4802,Clackamas Academy of Industrial Sciences,Scott Curtis,Grade(s) 8-12,H,Clackamas,200,*,3,16%,30%,67%,11,2,1,14%,Yes,22.5,No Change,,25,72%,Increase,2%,80%,,,,,,,,,,,,,,73%,Decrease,4%,85%,64%,Decrease,11%,77%,90%,Increase,5%,83%
1928,Oregon City SD 62,109,Gaffney Lane Elementary School,Cyndi Borgmeier,Grade(s) K-5,E,Clackamas,534,9%,11,18%,37%,90%,25,16,1,14%,No,26.5,Increase,1,25,83%,Increase,1%,80%,Average,52%,Decrease,1%,51%,43%,Decrease,1%,44%,67%,Decrease,9%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,115,Gardiner Middle School,Michael Sweeten,Grade(s) 6-8,M,Clackamas,784,14%,14,16%,35%,95%,40,12,2,11%,Yes,25,Decrease,2,25,83%,Decrease,2%,80%,Average,66%,Increase,1%,56%,45%,Increase,4%,41%,58%,Decrease,10%,61%,,,,,,,,,,,,
1928,Oregon City SD 62,107,Holcomb Elementary School,Kelli Rhea,Grade(s) K-5,E,Clackamas,513,6%,9,25%,46%,91%,24,19,1,33%,No,25,Increase,1,25,77%,Increase,1%,80%,Average,41%,Decrease,3%,51%,28%,Decrease,7%,44%,66%,Decrease,1%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,110,Jennings Lodge Elementary School,April Albers,Grade(s) K-2,E,Clackamas,266,31%,7,15%,52%,90%,14,11,2,18%,Yes,25.5,Increase,2,25,85%,Increase,7%,80%,*,26%,No Change,,,26%,Decrease,3%,,*,No Change,,,,,,,,,,,,,,
1928,Oregon City SD 62,114,John McLoughlin Elementary School,Candice Henkin,Grade(s) K-5,E,Clackamas,604,<5%,10,13%,19%,92%,25,13,1,18%,Yes,26,Decrease,2,25,92%,Increase,1%,80%,High,67%,No Change,,51%,56%,Decrease,7%,44%,84%,Decrease,6%,65%,,,,,,,,,,,,
1928,Oregon City SD 62,116,Ogden Middle School,Lisa Normand,Grade(s) 6-8,M,Clackamas,856,9%,15,17%,33%,94%,41,12,2,14%,No,27,No Change,,25,84%,Increase,1%,80%,Average,59%,No Change,,56%,36%,Decrease,8%,41%,68%,Decrease,1%,61%,,,,,,,,,,,,
